Sample_geo_accession	Sample_title
GSM338666	T-ALL
GSM338667	T-ALL
GSM338668	T-ALL
GSM338669	T-ALL
GSM338670	T-ALL
GSM338671	T-ALL
GSM338672	T-ALL
GSM338673	T-ALL
GSM338674	T-ALL
GSM338675	T-ALL
GSM338676	T-ALL
GSM338677	T-ALL
GSM338678	T-ALL
GSM338679	T-ALL
GSM338680	T-ALL
GSM338681	T-ALL
GSM338682	T-ALL
GSM338683	T-ALL
GSM338684	T-ALL
GSM338685	T-ALL
GSM338686	T-ALL
GSM338687	T-ALL
GSM338688	T-ALL
GSM338689	T-ALL
GSM338690	T-ALL
GSM338691	T-ALL
GSM338692	T-ALL
GSM338693	T-ALL
GSM338694	T-ALL
GSM338695	T-ALL
GSM338696	T-ALL
GSM338697	T-ALL
GSM338698	T-ALL
GSM338699	T-ALL
GSM338700	T-ALL
GSM338701	T-ALL
GSM338702	TEL-AML1
GSM338703	TEL-AML1
GSM338704	TEL-AML1
GSM338705	TEL-AML1
GSM338706	TEL-AML1
GSM338707	TEL-AML1
GSM338708	TEL-AML1
GSM338709	TEL-AML1
GSM338710	TEL-AML1
GSM338711	TEL-AML1
GSM338712	TEL-AML1
GSM338713	TEL-AML1
GSM338714	TEL-AML1
GSM338715	TEL-AML1
GSM338716	TEL-AML1
GSM338717	TEL-AML1
GSM338718	TEL-AML1
GSM338719	TEL-AML1
GSM338720	TEL-AML1
GSM338721	TEL-AML1
GSM338722	TEL-AML1
GSM338723	TEL-AML1
GSM338724	TEL-AML1
GSM338725	TEL-AML1
GSM338726	TEL-AML1
GSM338727	TEL-AML1
GSM338728	TEL-AML1
GSM338729	TEL-AML1
GSM338730	TEL-AML1
GSM338731	TEL-AML1
GSM338732	TEL-AML1
GSM338733	TEL-AML1
GSM338734	TEL-AML1
GSM338735	TEL-AML1
GSM338736	TEL-AML1
GSM338737	TEL-AML1
GSM338738	TEL-AML1
GSM338739	TEL-AML1
GSM338740	TEL-AML1
GSM338741	TEL-AML1
GSM338742	TEL-AML1
GSM338743	TEL-AML1
GSM338744	TEL-AML1
GSM338745	TEL-AML1 + hyperdiploidy
GSM338746	hyperdiploid
GSM338747	hyperdiploid
GSM338748	hyperdiploid
GSM338749	hyperdiploid
GSM338750	hyperdiploid
GSM338751	hyperdiploid
GSM338752	hyperdiploid
GSM338753	hyperdiploid
GSM338754	hyperdiploid
GSM338755	hyperdiploid
GSM338756	hyperdiploid
GSM338757	hyperdiploid
GSM338758	hyperdiploid
GSM338759	hyperdiploid
GSM338760	hyperdiploid
GSM338761	hyperdiploid
GSM338762	hyperdiploid
GSM338763	hyperdiploid
GSM338764	hyperdiploid
GSM338765	hyperdiploid
GSM338766	hyperdiploid
GSM338767	hyperdiploid
GSM338768	hyperdiploid
GSM338769	hyperdiploid
GSM338770	hyperdiploid
GSM338771	hyperdiploid
GSM338772	hyperdiploid
GSM338773	hyperdiploid
GSM338774	hyperdiploid
GSM338775	hyperdiploid
GSM338776	hyperdiploid
GSM338777	hyperdiploid
GSM338778	hyperdiploid
GSM338779	hyperdiploid
GSM338780	hyperdiploid
GSM338781	hyperdiploid
GSM338782	hyperdiploid
GSM338783	hyperdiploid
GSM338784	hyperdiploid
GSM338785	hyperdiploid
GSM338786	hyperdiploid
GSM338787	hyperdiploid
GSM338788	hyperdiploid
GSM338789	hyperdiploid
GSM338790	E2A-rearranged (E)
GSM338791	E2A-rearranged (EP)
GSM338792	E2A-rearranged (EP)
GSM338793	E2A-rearranged (EP)
GSM338794	E2A-rearranged (EP)
GSM338795	E2A-rearranged (EP)
GSM338796	E2A-rearranged (EP)
GSM338797	E2A-rearranged (EP)
GSM338798	E2A-rearranged (EP)
GSM338799	E2A-rearranged (E-sub)
GSM338800	E2A-rearranged (E-sub)
GSM338801	E2A-rearranged (E-sub)
GSM338802	E2A-rearranged (E-sub)
GSM338803	BCR-ABL
GSM338804	BCR-ABL
GSM338805	BCR-ABL
GSM338806	BCR-ABL
GSM338807	BCR-ABL + hyperdiploidy
GSM338808	MLL
GSM338809	MLL
GSM338810	MLL
GSM338811	MLL
GSM338812	pre-B ALL
GSM338813	pre-B ALL
GSM338814	pre-B ALL
GSM338815	pre-B ALL
GSM338816	pre-B ALL
GSM338817	pre-B ALL
GSM338818	pre-B ALL
GSM338819	pre-B ALL
GSM338820	pre-B ALL
GSM338821	pre-B ALL
GSM338822	pre-B ALL
GSM338823	pre-B ALL
GSM338824	pre-B ALL
GSM338825	pre-B ALL
GSM338826	pre-B ALL
GSM338827	pre-B ALL
GSM338828	pre-B ALL
GSM338829	pre-B ALL
GSM338830	pre-B ALL
GSM338831	pre-B ALL
GSM338832	pre-B ALL
GSM338833	pre-B ALL
GSM338834	pre-B ALL
GSM338835	pre-B ALL
GSM338836	pre-B ALL
GSM338837	pre-B ALL
GSM338838	pre-B ALL
GSM338839	pre-B ALL
GSM338840	pre-B ALL
GSM338841	pre-B ALL
GSM338842	pre-B ALL
GSM338843	pre-B ALL
GSM338844	pre-B ALL
GSM338845	pre-B ALL
GSM338846	pre-B ALL
GSM338847	pre-B ALL
GSM338848	pre-B ALL
GSM338849	pre-B ALL
GSM338850	pre-B ALL
GSM338851	pre-B ALL
GSM338852	pre-B ALL
GSM338853	pre-B ALL
GSM338854	pre-B ALL
GSM338855	pre-B ALL
