Geneid	5: Tophat2 on data 28, data 24, and others: accepted_hits	6: Tophat2 on data 47, data 67, and others: accepted_hits
XLOC_000065	188	112
XLOC_000067	181	90
XLOC_001634	97	75
XLOC_002081	54	22
XLOC_002082	78	36
XLOC_002083	38	38
XLOC_002084	24	33
XLOC_002085	6	22
XLOC_002086	104	125
XLOC_002087	23	20
XLOC_002088	22	22
XLOC_002089	29	26
XLOC_002090	91	126
XLOC_002091	18	2
XLOC_002092	19	13
XLOC_002093	26	9
XLOC_002094	22	4
XLOC_002095	36	15
XLOC_002096	7	26
XLOC_002097	6	26
XLOC_002098	25	10
XLOC_002099	26	4
XLOC_002100	37	59
XLOC_002101	87	89
XLOC_002102	22	4
XLOC_002103	925	639
XLOC_002104	8	27
ENSG00000224285	0	0
ENSG00000237297	0	0
ENSG00000173876	7	7
ENSG00000221757	0	0
ENSG00000232420	0	0
ENSG00000015171	486	263
ENSG00000212331	0	0
ENSG00000259741	0	0
ENSG00000151240	65	97
ENSG00000201861	0	0
ENSG00000239822	0	0
ENSG00000233021	0	0
ENSG00000225140	0	0
ENSG00000180525	0	0
ENSG00000242357	0	0
ENSG00000231601	0	0
ENSG00000107929	1201	1150
ENSG00000244092	0	0
ENSG00000229869	1	0
ENSG00000205740	4	4
ENSG00000107937	1518	644
ENSG00000148377	2	1
ENSG00000232656	1	1
ENSG00000067064	885	422
ENSG00000238924	1	0
ENSG00000047056	631	647
ENSG00000229205	0	0
ENSG00000185736	0	2
ENSG00000233052	0	0
ENSG00000205696	0	0
ENSG00000234962	1	4
ENSG00000226694	0	0
ENSG00000252998	0	0
ENSG00000227912	2	2
ENSG00000231326	0	0
ENSG00000212156	0	0
ENSG00000234556	0	0
ENSG00000234170	0	0
ENSG00000237500	0	0
ENSG00000235281	0	0
ENSG00000231743	0	0
ENSG00000225430	0	0
ENSG00000234182	0	1
ENSG00000067057	2965	2089
ENSG00000107959	849	825
ENSG00000237399	33	13
ENSG00000227575	0	0
ENSG00000236968	0	0
ENSG00000252954	0	0
ENSG00000226762	1	0
ENSG00000227338	1	0
ENSG00000233321	0	0
ENSG00000236892	0	0
ENSG00000229672	1	3
ENSG00000228353	0	0
ENSG00000067082	11631	7149
ENSG00000230573	0	0
ENSG00000226005	0	0
ENSG00000227101	0	0
ENSG00000236990	3	2
ENSG00000233117	0	0
ENSG00000224382	0	0
ENSG00000230096	0	0
ENSG00000207124	0	0
ENSG00000231298	0	0
ENSG00000225269	0	0
ENSG00000165568	10	21
ENSG00000151631	0	0
ENSG00000187134	7	9
ENSG00000238840	0	0
ENSG00000224115	0	0
ENSG00000151632	0	1
ENSG00000226198	0	0
ENSG00000224251	0	0
ENSG00000239148	0	0
ENSG00000196139	56	91
ENSG00000251740	0	0
ENSG00000237831	0	0
ENSG00000239142	0	0
ENSG00000225418	1	0
ENSG00000196326	2	1
ENSG00000198610	0	2
ENSG00000251909	0	0
ENSG00000228291	0	0
ENSG00000231039	0	0
ENSG00000224034	2	10
